vectorAddCPU took 203 milliseconds to execute.
grid_size:1 block_size:1 vectorAddCUDASerial took 10285 milliseconds to execute.
cpu and gpu max diff:0
grid_size,block_size,elasped_time,max_diff
88184,761,121,0
88068,762,132,0
87952,763,101,0
87837,764,163,0
87723,765,121,0
87608,766,100,0
87494,767,163,0
87380,768,133,0
87266,769,163,0
87153,770,118,0
87040,771,163,0
86927,772,162,0
86815,773,106,0
86702,774,163,0
86591,775,120,0
86479,776,162,0
86368,777,163,0
86257,778,145,0
86146,779,142,0
86036,780,99,0
85925,781,163,0
85815,782,136,0
85706,783,163,0
85597,784,115,0
85488,785,163,0
85379,786,131,0
85270,787,101,0
85162,788,162,0
85054,789,115,0
84946,790,113,0
84839,791,163,0
84732,792,122,0
84625,793,97,0
84518,794,163,0
84412,795,105,0
84306,796,163,0
84200,797,112,0
84095,798,163,0
83990,799,121,0
83885,800,96,0
83780,801,163,0
83675,802,105,0
83571,803,162,0
83467,804,99,0
83364,805,163,0
83260,806,111,0
83157,807,163,0
83054,808,109,0
82951,809,163,0
82849,810,111,0
82747,811,163,0
82645,812,116,0
82543,813,102,0
82442,814,163,0
82341,815,107,0
82240,816,129,0
82139,817,163,0
82039,818,116,0
81939,819,162,0
81839,820,162,0
81739,821,162,0
81639,822,108,0
81540,823,163,0
81441,824,109,0
81343,825,99,0
81244,826,162,0
81146,827,162,0
81048,828,144,0
80950,829,103,0
80853,830,163,0
80755,831,162,0
80658,832,114,0
80561,833,97,0
80465,834,163,0
80368,835,120,0
80272,836,162,0
80176,837,114,0
80081,838,162,0
79985,839,107,0
79890,840,161,0
79795,841,135,0
79700,842,103,0
79606,843,97,0
79511,844,162,0
79417,845,123,0
79323,846,163,0
79230,847,163,0
79136,848,111,0
79043,849,163,0
78950,850,163,0
78857,851,162,0
78765,852,108,0
78672,853,162,0
78580,854,109,0
78488,855,103,0
78397,856,97,0
78305,857,162,0
78214,858,110,0
78123,859,162,0
78032,860,121,0
77941,861,162,0
77851,862,113,0
77761,863,162,0
77671,864,158,0
77581,865,118,0
77491,866,162,0
77402,867,116,0
77313,868,162,0
77224,869,115,0
77135,870,162,0
77047,871,116,0
